id_sitio,nombre,calle,num_exterior,num_interior,colonia,cp,delegacion,estado,telefono
32,,SOR JUANA INES DE LA CRUZ,225,,EL HUERTO,13360,CUAUTITLAN,,58708488
33,,ZARAGOZA,203,,EL HUERTO,13360,CUAUTITLAN,,58720448
34,,ZARAGOZA,203,,EL HUERTO,13360,CUAUTITLAN,,58720448
35,,FRESNOS,37,,LOS MORALES,54800,CUAUTITLAN,,26204579
36,,FRESNOS,14,,LOS MORALES,54800,CUAUTITLAN,,26201232
37,,LUIS DE LA PEÑA,21,,PARQUES,54720,CUAUTITLAN IZCALLI,,58733710
38,,AV JIMENEZ ZONA ESMERALDA,S/N,,ZONA ESMERALDA,52930,ATIZAPAN,,53084147
39,,AV AUSTRAL,43,,ATLANTA,54740,CUAUTITLAN IZCALLI,,58736341
40,,AV AUSTRAL,43,,ATLANTA,54740,CUAUTITLAN IZCALLI,,58736341
41,,2 RETORNO DE BOSENCHEVE,13,,JARDINES DEL ALBA,54740,CUAUTITLAN IZCALLI,,58730101
42,,MP CUAUTITLAN IZCALLI,S/N,,CENTRO URBANO,54700,CUAUTITLAN IZCALLI,,58717883
43,,2 RETORNO DE BOSENCHEVE,13,,JARDINES DEL ALBA,54740,CUUAUTITLAN IZCALLI,,58730101
44,,AV DEL TRABAJO,11,,BELLAVISTA,54710,CUAUTITLAN IZCALLI,,50094154
45,,2 RETORNO DE BOSENCHEVE,13,,JARDINES DEL ALBA,54740,CUAUTITLAN IZCALLI,,58730101
46,,AV CUAUTITLAN,M-29,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58774639
47,,AV CUAUTITLAN,M-29,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58774639
48,,AV CUAUTITLAN,M-29,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58774639
49,,AV CUAUTITLAN,M-29,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58774639
50,,AV CUAUTITLAN,M-29,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58774639
51,,AV CUAUTITLAN,M-29,,BOSQUES DE MORELOS,54760,CUAUTITLAN IZCALLI,,58774639
